n_splits,validation_samples_per_repo,gap_samples,fold,baseline,validation_rows,rmsle,mae,rmse,smape,forecast_bias
5,1,4,1,previous_4week_total,21,0.6448462366483316,45.61904761904762,81.98141485088179,0.4386073348512917,6.666666666666667
5,1,4,2,last_week_x4,21,0.7170722407962828,42.95238095238095,61.95466852773043,0.47207908762536227,-18.571428571428573
5,1,4,2,previous_week_x4,21,0.9490389481136761,68.57142857142857,136.62287335512133,0.5409040486116704,6.190476190476191
5,1,4,2,rolling_3week_mean_x4,21,0.8332980826558275,64.66666666666666,125.24646601272727,0.4854780447959194,7.650793650793652
5,1,4,2,previous_4week_total,21,0.8158440125031267,53.857142857142854,97.02503358853912,0.44245644488802904,-2.8095238095238093
5,1,4,3,last_week_x4,21,0.8167337446685924,48.42857142857143,81.10692531056354,0.4914192110836212,-23.761904761904763
5,1,4,3,previous_week_x4,21,0.7727449331880113,52.42857142857143,75.78698217152248,0.5228235714576749,-22.047619047619047
5,1,4,3,rolling_3week_mean_x4,21,0.6707445660219006,52.55555555555557,88.13989001377418,0.41433669208552054,-14.365079365079369
5,1,4,3,previous_4week_total,21,0.7329305216274471,65.0,116.35802712400411,0.46048460828411436,-2.8095238095238093
5,1,4,4,last_week_x4,21,0.5442530113607511,27.047619047619047,40.047590736641375,0.3381233075510905,-5.142857142857143
5,1,4,4,previous_week_x4,21,0.8453975701807426,51.714285714285715,78.8005317845242,0.5224980045938497,-24.0
5,1,4,4,rolling_3week_mean_x4,21,0.5135524889142895,38.349206349206355,52.92342476530491,0.38190959078375575,-17.142857142857146
5,1,4,4,previous_4week_total,21,0.5346165759953901,45.0,72.67573119523398,0.3667296154979453,-12.238095238095237
5,1,4,5,last_week_x4,21,0.5219047500672328,32.904761904761905,45.45065351303438,0.3834981864156586,5.190476190476191
5,1,4,5,previous_week_x4,21,0.5630488176832795,30.047619047619047,42.5054618339136,0.3750077936531912,-0.9047619047619048
5,1,4,5,rolling_3week_mean_x4,21,0.45540262731813785,25.41269841269841,32.77024395528494,0.3101499021746013,-5.158730158730163
5,1,4,5,previous_4week_total,21,0.44989340555169594,29.904761904761905,39.58595229431293,0.34919781666465405,-8.380952380952381
5,2,4,1,last_week_x4,30,0.8747018415758605,53.7,97.10046343864688,0.5545138164913336,24.366666666666667
5,2,4,1,previous_week_x4,30,0.8762378839751173,47.36666666666667,80.77602779703064,0.564408566068015,4.366666666666666
5,2,4,1,rolling_3week_mean_x4,30,0.6498700753585193,33.788888888888884,49.33900117591596,0.4494019137579661,4.855555555555556
5,2,4,1,previous_4week_total,30,0.5205862912331777,29.766666666666666,42.2378187568124,0.3947415890480336,-0.9666666666666667
5,2,4,2,last_week_x4,30,0.6420783649181058,28.266666666666666,40.942235731169674,0.4464300429382793,-10.133333333333333
5,2,4,2,previous_week_x4,30,0.7879471328789573,45.0,90.86693568069741,0.5086684398171201,8.533333333333333
5,2,4,2,rolling_3week_mean_x4,30,0.5644623637442571,37.44444444444445,66.02221848236647,0.43180314957879473,8.444444444444445
5,2,4,2,previous_4week_total,30,0.5140177682904213,31.933333333333334,56.974848251955294,0.39696151609030184,8.066666666666666
5,2,4,3,last_week_x4,30,0.7009890458565161,35.9,54.57624635926024,0.4701611628153132,8.9
5,2,4,3,previous_week_x4,30,0.7077148930698808,38.36666666666667,56.21535970414729,0.49578219626382675,5.033333333333333
5,2,4,3,rolling_3week_mean_x4,30,0.6346209541952169,30.588888888888892,42.74978882339004,0.4564963849173191,1.61111111111111
5,2,4,3,previous_4week_total,30,0.6585971865213156,32.333333333333336,49.50555524383097,0.4604614359229282,3.6
5,2,4,4,last_week_x4,30,0.8439988702004432,42.9,67.97327906366344,0.5189056647227255,-24.833333333333332
5,2,4,4,previous_week_x4,30,0.9236565182860502,48.03333333333333,71.25236838168959,0.5599187381241465,-19.766666666666666
5,2,4,4,rolling_3week_mean_x4,30,0.762830886531398,39.34444444444445,65.50575321071962,0.4212068658557443,-18.255555555555556
5,2,4,4,previous_4week_total,30,0.7781123170640322,39.3,65.9320357135538,0.423129062799843,-17.366666666666667
5,2,4,5,last_week_x4,30,0.5463510695590226,23.066666666666666,30.094296248071107,0.346375112634575,-6.866666666666666
5,2,4,5,previous_week_x4,30,0.7492552884277395,30.333333333333332,50.983003703848865,0.42577702398975675,-21.666666666666668
5,2,4,5,rolling_3week_mean_x4,30,0.5051848218501462,27.866666666666667,39.88622708543779,0.3477824799626766,-19.266666666666666
5,2,4,5,previous_4week_total,30,0.47175273678255564,31.033333333333335,46.28066550947599,0.3502083320546781,-20.5
