repo_id,repo_full_name,language,topic_count,stars_count,forks_count,repo_popularity_count,train_interaction_count,validation_interaction_count,train_popularity_share,train_popularity_rank
701547123,open-webui/open-webui,Python,1,141381,20311,1500,1255,94,0.006606514918616159,109
560704231,run-llama/llama_index,Python,1,50109,7553,1500,1254,145,0.0066012507633025205,110
793375104,Shubhamsaboo/awesome-llm-apps,Python,1,114447,16987,1500,1253,81,0.006595986607988882,111
126577260,trekhleb/javascript-algorithms,JavaScript,1,196083,31057,1500,1243,124,0.006543345054852498,112
54173593,storybookjs/storybook,TypeScript,1,90326,10129,1500,1242,154,0.00653808089953886,113
599320067,langflow-ai/langflow,Python,1,149625,9259,1500,1242,141,0.00653808089953886,113
83222441,donnemartin/system-design-primer,Python,1,352930,56693,1500,1239,142,0.006522288433597945,115
156157055,GokuMohandas/Made-With-ML,Jupyter Notebook,1,48019,7553,1500,1239,123,0.006522288433597945,115
599547518,vllm-project/vllm,Python,1,82772,18023,1500,1239,129,0.006522288433597945,115
63537249,react/create-react-app,JavaScript,1,103326,26997,1500,1238,160,0.006517024278284307,118
26066727,mermaid-js/mermaid,TypeScript,1,88629,9039,1500,1234,163,0.006495967657029753,119
135786093,typescript-cheatsheets/react,TypeScript,1,47066,4292,1500,1233,124,0.006490703501716114,120
61893399,brillout/awesome-react-components,Unknown,1,47764,3782,1500,1232,162,0.006485439346402476,121
79162682,laurent22/joplin,TypeScript,1,55180,6141,1500,1231,130,0.006480175191088838,122
27193779,nodejs/node,JavaScript,1,117760,35675,1500,1228,157,0.006464382725147923,123
62367558,vercel/hyper,TypeScript,1,44600,3561,1500,1221,169,0.006427533637952454,124
160919119,fastapi/fastapi,Python,1,99170,9432,1500,1221,131,0.006427533637952454,124
699532645,astral-sh/uv,Rust,1,86336,3197,1500,1220,44,0.006422269482638816,126
274495425,remotion-dev/remotion,TypeScript,1,50012,3575,1500,1216,117,0.006401212861384262,127
365739812,tldraw/tldraw,TypeScript,1,47776,3296,1500,1215,133,0.006395948706070624,128
357728969,oven-sh/bun,Rust,1,93148,4699,1500,1213,97,0.0063854203954433475,129
29028775,react/react-native,C++,1,126005,25176,1500,1210,171,0.006369627929502432,130
542284380,usebruno/bruno,JavaScript,1,44879,2575,1500,1206,94,0.0063485713082478785,131
621803253,FlowiseAI/Flowise,TypeScript,1,53545,24511,1500,1203,145,0.006332778842306964,132
255378816,bigskysoftware/htmx,JavaScript,1,48197,1601,1500,1194,117,0.006285401444484218,133
364474335,google/zx,JavaScript,1,45534,1268,1500,1188,115,0.006253816512602388,134
572984571,twentyhq/twenty,TypeScript,1,49849,7205,1500,1164,113,0.006127476785075067,135
221981891,microsoft/playwright,TypeScript,1,90886,6033,1500,1162,119,0.00611694847444779,136
207645083,TanStack/query,TypeScript,1,49740,3885,1500,1160,160,0.006106420163820513,137
133442384,denoland/deno,Rust,1,107055,6065,1500,1154,164,0.006074835231938683,138
658928958,ollama/ollama,Go,1,174059,16595,1500,1146,154,0.006032721989429576,139
881458615,browser-use/browser-use,Python,1,98673,11009,1500,1124,84,0.005916910572529532,140
70107786,vercel/next.js,JavaScript,1,139981,31219,1500,1114,224,0.005864269019393148,141
671269505,BerriAI/litellm,Python,1,50264,8857,1500,1100,177,0.005790570845002211,142
75104123,prettier/prettier,JavaScript,1,52010,4741,1500,1096,197,0.0057695142237476574,143
787076358,firecrawl/firecrawl,TypeScript,1,132342,7787,1500,1089,169,0.0057326651365521885,144
43441403,strapi/strapi,TypeScript,1,72354,9739,566,491,50,0.0025847002589964416,145
