user_id,train_history_count,candidate_count_validation
149978,1,144
151262,1,144
151300,1,144
151614,1,144
151783,1,144
152046,1,144
152942,1,144
153266,1,144
153315,1,144
153843,1,144
153874,1,144
153910,1,144
153965,1,144
154350,1,144
154603,1,144
155706,1,144
155714,1,144
156289,1,144
156303,1,144
157039,1,144
157786,1,144
157832,1,144
157864,1,144
158447,1,144
158591,1,144
158592,1,144
159270,1,144
159336,1,144
159371,1,144
160099,1,144
160117,1,144
160279,1,144
160371,1,144
160654,1,144
161552,1,144
161571,1,144
161935,1,144
161995,1,144
162986,1,144
163009,1,144
163426,1,144
163695,1,144
163743,1,144
163873,1,144
164147,1,144
164460,1,144
164625,1,144
164675,1,144
164817,1,144
165338,1,144
165631,1,144
165954,1,144
166253,1,144
166575,1,144
166637,1,144
166909,1,144
166953,1,144
167306,1,144
168267,1,144
168397,1,144
168513,1,144
168601,1,144
168681,1,144
168768,1,144
168870,1,144
169059,1,144
169170,1,144
169631,1,144
170023,1,144
170124,1,144
170201,1,144
170265,1,144
170983,1,144
171200,1,144
171215,1,144
171778,1,144
171995,1,144
173158,1,144
173166,1,144
173928,1,144
174317,1,144
174318,1,144
174441,1,144
175109,1,144
175326,1,144
175515,1,144
175627,1,144
175652,1,144
176019,1,144
176762,1,144
177366,1,144
177525,1,144
177809,1,144
178500,1,144
178524,1,144
178528,1,144
178724,1,144
179162,1,144
179361,1,144
180396,1,144
181341,1,144
181635,1,144
181983,1,144
182101,1,144
182515,1,144
182770,1,144
182902,1,144
183031,1,144
183354,1,144
183431,1,144
183904,1,144
184706,1,144
184756,1,144
184957,1,144
185008,1,144
185306,1,144
185375,1,144
185499,1,144
185797,1,144
186158,1,144
186422,1,144
186637,1,144
186704,1,144
187439,1,144
187798,1,144
188470,1,144
188638,1,144
188642,1,144
188658,1,144
188822,1,144
189851,1,144
190322,1,144
190527,1,144
190671,1,144
190684,1,144
190916,1,144
191142,1,144
191460,1,144
191818,1,144
191975,1,144
192247,1,144
192557,1,144
193272,1,144
193461,1,144
193685,1,144
193817,1,144
193864,1,144
194283,1,144
194400,1,144
194563,1,144
194899,1,144
195016,1,144
195229,1,144
195635,1,144
195829,1,144
196144,1,144
196266,1,144
196279,1,144
196477,1,144
196830,1,144
196861,1,144
196998,1,144
197134,1,144
197784,1,144
197788,1,144
198230,1,144
198276,1,144
198281,1,144
198349,1,144
198513,1,144
199295,1,144
199362,1,144
199576,1,144
199847,1,144
199887,1,144
200353,1,144
200609,1,144
201034,1,144
201853,1,144
202744,1,144
203321,1,144
203476,1,144
203540,1,144
203725,1,144
203771,1,144
204754,1,144
205134,1,144
205210,1,144
205364,1,144
206108,1,144
206201,1,144
206295,1,144
206357,1,144
207051,1,144
207551,1,144
207686,1,144
208317,1,144
208512,1,144
209767,1,144
209769,1,144
210353,1,144
210359,1,144
210468,1,144
210908,1,144
211040,1,144
211096,1,144
211490,1,144
211517,1,144
211550,1,144
211925,1,144
211926,1,144
212880,1,144
212883,1,144
212915,1,144
213498,1,144
213566,1,144
213777,1,144
213869,1,144
214581,1,144
215919,1,144
216331,1,144
216480,1,144
216638,1,144
219140,1,144
219689,1,144
219834,1,144
220070,1,144
220283,1,144
220327,1,144
220358,1,144
220826,1,144
221084,1,144
221200,1,144
221412,1,144
221467,1,144
221781,1,144
221942,1,144
222015,1,144
222181,1,144
222763,1,144
222800,1,144
223326,1,144
223478,1,144
223822,1,144
223948,1,144
224215,1,144
224251,1,144
224985,1,144
225335,1,144
225662,1,144
225668,1,144
226696,1,144
226778,1,144
226827,1,144
226872,1,144
227395,1,144
227672,1,144
227909,1,144
229222,1,144
230674,1,144
231197,1,144
231338,1,144
231539,1,144
231835,1,144
231853,1,144
232005,1,144
232016,1,144
232049,1,144
232464,1,144
233103,1,144
233318,1,144
233601,1,144
234495,1,144
234813,1,144
234983,1,144
235025,1,144
235329,1,144
235402,1,144
236356,1,144
236607,1,144
236657,1,144
236736,1,144
236767,1,144
236879,1,144
236886,1,144
237176,1,144
238295,1,144
238407,1,144
238421,1,144
239880,1,144
240271,1,144
241873,1,144
242004,1,144
242065,1,144
242723,1,144
243161,1,144
243719,1,144
243819,1,144
244047,1,144
244704,1,144
246103,1,144
246432,1,144
246636,1,144
246935,1,144
247408,1,144
248011,1,144
248267,1,144
248304,1,144
248555,1,144
248741,1,144
249055,1,144
250069,1,144
250145,1,144
250426,1,144
251057,1,144
251292,1,144
251685,1,144
251937,1,144
252217,1,144
252257,1,144
252403,1,144
253385,1,144
254434,1,144
256050,1,144
256210,1,144
258992,1,144
259551,1,144
259691,1,144
259707,1,144
261274,1,144
261849,1,144
263237,1,144
263460,1,144
264626,1,144
265193,1,144
265802,1,144
265872,1,144
266452,1,144
266668,1,144
270298,1,144
271241,1,144
271673,1,144
271746,1,144
271816,1,144
