candidate_id,family,mode,model_kind,feature_set,parameters,fold,rmsle,mae,rmse,smape,forecast_bias
22,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1.0}",1,0.696872525527733,47.04250985531075,74.76828478654828,0.45712411813917364,-41.249357706357856
22,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1.0}",2,0.48730246666753346,41.94317636807958,56.406708244774414,0.409232130153023,-31.384347592435585
22,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1.0}",3,0.4793529133418773,33.62756955769971,46.130599635543376,0.3633171288250802,-24.82842100302863
23,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 10.0}",1,0.6819960600684343,46.91020556526971,75.0427386971148,0.4741342199353596,-29.93052497138049
23,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 10.0}",2,0.5592267453315211,42.039152345710136,55.20246454129433,0.44477954655544405,-25.996744528581498
23,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 10.0}",3,0.5235762787318847,33.57996384907938,43.69231002692549,0.3957276346872513,-19.488713225365707
24,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 10.0}",1,0.6983136141866785,47.1289691332285,74.81779302560676,0.45851178277228494,-41.4049424423389
24,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 10.0}",2,0.4848669842338352,41.6659984243382,56.020161390800084,0.40799255462976375,-31.76633217909351
24,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 10.0}",3,0.4777013697791874,33.5281984062317,45.971265229309445,0.3619638267184309,-24.861445041304112
25,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 100.0}",1,0.6777097964875797,46.22013014567743,74.19892473868046,0.47234555553191326,-30.8070321497935
25,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 100.0}",2,0.5518482076777116,41.4484369668251,54.23643125137101,0.4454445969334055,-26.963478344690603
25,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 100.0}",3,0.5134051272033312,32.82507761338708,42.6415046374963,0.3876902874581816,-19.24738865037256
