candidate_id,family,mode,model_kind,feature_set,parameters,mean_cv_rmsle,std_cv_rmsle,mean_cv_mae,mean_cv_rmse,mean_cv_smape,mean_cv_bias,elapsed_seconds
16,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 100.0}",0.5897976028761023,0.10602876214059097,44.73258538916702,63.29966112097939,0.455026240293787,-39.89676430445411,0.006723084021359682
17,additive_residual_ridge,additive_residual,ridge,full,"{""alpha"": 1000.0}",0.5818855488482353,0.0949404460876132,41.16284792318243,58.30156223682544,0.43973734014067795,-26.667119711469965,0.006571125006303191
18,log_residual_ridge,log_residual,ridge,full,"{""alpha"": 1000.0}",0.5551210840656946,0.11367893697352459,39.982029584067895,58.838598784178124,0.40145789120865444,-33.11168619894382,0.0065241248812526464
19,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 0.1}",0.5905860994056978,0.08269567406492755,41.151994229580964,58.449975457501495,0.43967210015556885,-24.77049785779396,0.006401250138878822
20,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 0.1}",0.5546302765665706,0.12307929740826554,40.88360677497486,59.12536221552356,0.40993189879181174,-32.4614285661437,0.006453874986618757
21,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1.0}",0.5903214617758991,0.08273345157590661,41.1169180324681,58.394076413178716,0.4395137989084894,-24.813181154189433,0.006459249882027507
22,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1.0}",0.5545093018457146,0.12335422344764559,40.871085260363344,59.10186422228869,0.409891125705759,-32.48737543394069,0.0065136251505464315
23,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 10.0}",0.58826636137728,0.08310644532612299,40.843107253353075,57.97917108844488,0.438213800392685,-25.138660908442564,0.006395417032763362
24,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 10.0}",0.5536273227332337,0.12535321578859293,40.77438865459947,58.93640654857209,0.40948938804015983,-32.67757322091217,0.006438707932829857
25,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 100.0}",0.5809877104562075,0.08594090442731589,40.1645482419632,57.02562020918259,0.43516014664116676,-25.67263304828555,0.006390374852344394
26,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 100.0}",0.5506140614338044,0.12726665004769344,40.388734198388114,58.56238131342068,0.4057161953585209,-32.82195219376181,0.006459333933889866
27,additive_residual_ridge,additive_residual,ridge,recent_only,"{""alpha"": 1000.0}",0.5516493873993454,0.10610693835384304,38.280778609979,55.4514011799821,0.41524503495170967,-21.818769894045758,0.006378958001732826
28,log_residual_ridge,log_residual,ridge,recent_only,"{""alpha"": 1000.0}",0.537308170217575,0.12664857459498147,36.85513517002491,55.4453463270772,0.3733874773528771,-27.68583597227366,0.006462708115577698
29,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 0.1}",0.5902081439877073,0.07976940136458828,41.04057977044055,58.171647025023994,0.4411380349292408,-26.7383514194216,0.006302000023424625
30,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 0.1}",0.5575111520464923,0.12158269128519157,41.6986463581707,60.27160796513075,0.4161377484201021,-34.258231885982106,0.00672516692429781
31,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1.0}",0.5901401218246903,0.07981009205036478,41.03662289873591,58.16808016301238,0.44109592655525404,-26.729079466379716,0.006419833982363343
32,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1.0}",0.5574582242711618,0.12154397674191128,41.691645639234586,60.265094880985494,0.4160560521822618,-34.24776653182118,0.00645983312278986
33,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 10.0}",0.5894631811357174,0.08021564402579962,40.99678268902278,58.132338634086835,0.4406732066916379,-26.636988373905215,0.006276292027905583
34,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 10.0}",0.5569385427350327,0.12117895109530381,41.62156784068211,60.19966480281414,0.4152430292884877,-34.14330631020122,0.00638237502425909
35,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 100.0}",0.5830504763790735,0.08412785221052527,40.58727646040066,57.778065447825135,0.43643873762123886,-25.772986740807198,0.006349958945065737
36,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 100.0}",0.5525114384701677,0.11912984485578818,40.92337883713582,59.53517382102901,0.40750542561109393,-33.12436155837292,0.0064448341727256775
37,additive_residual_ridge,additive_residual,ridge,recent_compact,"{""alpha"": 1000.0}",0.547409590926235,0.11094381286565175,38.27048499080703,55.87685395082085,0.41137487040532245,-20.383109015925367,0.006306125083938241
38,log_residual_ridge,log_residual,ridge,recent_compact,"{""alpha"": 1000.0}",0.5380053467669365,0.12769897595556645,36.70406064021173,55.155774080740336,0.3727703241407436,-25.72511424931015,0.006301874993368983
39,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5436523781605433,0.0746088345747401,41.730076099082005,60.6129763935698,0.43052411018169595,-30.547274039031375,0.4336207499727607
40,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5500799637712832,0.07765320762742979,41.666160851912835,59.329086124820634,0.43207565375704565,-28.063252355486938,0.4195020829793066
41,log_residual_extra_trees,log_residual,extra_trees,full,"{""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5662488417740037,0.0896958940247812,42.44717819960881,62.193922372810185,0.4208895174094572,-34.775967575711405,0.3990651248022914
42,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.2, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5411156508215575,0.15977714604808307,37.73108468770433,56.36793254959692,0.3705937448987257,-17.951879050230513,0.40699762501753867
43,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.4, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.513746881852499,0.14358577610977166,36.99499349246013,55.48359720514384,0.3748472619223704,-21.100727797430732,0.425137042067945
44,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5073601399617819,0.12203277183943408,37.86179486324378,55.957643073518135,0.38854306311208403,-24.249576544630944,0.4162102921400219
45,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.8, ""max_depth"": 4, ""max_features"": 1.0, ""min_samples_leaf"": 5}",0.5178862198567374,0.09795846184283441,39.7690138936823,57.705833320683205,0.40933595472847634,-27.39842529183116,0.4161858749575913
46,direct_extra_trees,direct,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5382185404094219,0.09189434635115762,40.478287494804114,59.3005885308094,0.41881474858548967,-29.09069338879497,0.43130820780061185
47,additive_residual_extra_trees,additive_residual,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5494150025351441,0.09392089610307629,42.07549427041582,60.613091331416136,0.4310014662524739,-28.582438171796742,0.3972949159797281
48,log_residual_extra_trees,log_residual,extra_trees,full,"{""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5717325174774874,0.09315294871361654,42.84726332478264,62.59464557387454,0.4303033206504418,-35.457359037647656,0.39523224998265505
49,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.2, ""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5419372988649608,0.16287804257725005,37.6559674717634,56.169381366468485,0.3695522003835652,-17.660562920183228,0.41203324985690415
50,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.4, ""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5142843089010023,0.15058844181957928,36.6850903516397,55.0340250440938,0.37240928011347013,-20.51809553733617,0.5252627918962389
51,blend_direct_extra_trees,blend_direct,extra_trees,full,"{""blend_weight"": 0.6, ""max_depth"": 8, ""max_features"": 1.0, ""min_samples_leaf"": 10}",0.5067513992751226,0.13291270095333674,37.23976960499254,55.22665484224089,0.383413779166309,-23.375628154489103,0.42229279200546443
