repo_id,repo_full_name,week,weekly_new_stars,cumulative_stars,previous_week_stars,weekly_growth_rate,herd_momentum_score
858127,pandas-dev/pandas,2013-05-06/2013-05-12,10,1389,15.0,-0.33333333333333337,20835.0
858127,pandas-dev/pandas,2013-05-13/2013-05-19,17,1406,10.0,0.7,14060.0
858127,pandas-dev/pandas,2013-05-20/2013-05-26,19,1425,17.0,0.11764705882352944,24225.0
858127,pandas-dev/pandas,2013-05-27/2013-06-02,10,1435,19.0,-0.4736842105263158,27265.0
858127,pandas-dev/pandas,2013-06-03/2013-06-09,14,1449,10.0,0.3999999999999999,14490.0
858127,pandas-dev/pandas,2013-06-10/2013-06-16,10,1459,14.0,-0.2857142857142857,20426.0
858127,pandas-dev/pandas,2013-06-17/2013-06-23,12,1471,10.0,0.19999999999999996,14710.0
858127,pandas-dev/pandas,2013-06-24/2013-06-30,18,1489,12.0,0.5,17868.0
858127,pandas-dev/pandas,2013-07-01/2013-07-07,11,1500,18.0,-0.38888888888888884,27000.0
931135,Leaflet/Leaflet,2010-09-20/2010-09-26,1500,1500,,,0.0
1362490,psf/requests,2011-02-07/2011-02-13,1500,1500,,,0.0
1644196,JuliaLang/julia,2011-04-18/2011-04-24,1068,1068,,,0.0
1644196,JuliaLang/julia,2011-04-25/2011-05-01,9,1077,1068.0,-0.9915730337078652,1150236.0
1644196,JuliaLang/julia,2011-05-02/2011-05-08,10,1087,9.0,0.11111111111111116,9783.0
1644196,JuliaLang/julia,2011-05-09/2011-05-15,10,1097,10.0,0.0,10970.0
1644196,JuliaLang/julia,2011-05-16/2011-05-22,7,1104,10.0,-0.30000000000000004,11040.0
1644196,JuliaLang/julia,2011-05-23/2011-05-29,3,1107,7.0,-0.5714285714285714,7749.0
1644196,JuliaLang/julia,2011-05-30/2011-06-05,10,1117,3.0,2.3333333333333335,3351.0
1644196,JuliaLang/julia,2011-06-06/2011-06-12,11,1128,10.0,0.10000000000000009,11280.0
1644196,JuliaLang/julia,2011-06-13/2011-06-19,13,1141,11.0,0.18181818181818188,12551.0
1644196,JuliaLang/julia,2011-06-20/2011-06-26,12,1153,13.0,-0.07692307692307687,14989.0
1644196,JuliaLang/julia,2011-06-27/2011-07-03,5,1158,12.0,-0.5833333333333333,13896.0
1644196,JuliaLang/julia,2011-07-04/2011-07-10,5,1163,5.0,0.0,5815.0
1644196,JuliaLang/julia,2011-07-11/2011-07-17,3,1166,5.0,-0.4,5830.0
1644196,JuliaLang/julia,2011-07-18/2011-07-24,6,1172,3.0,1.0,3516.0
1644196,JuliaLang/julia,2011-07-25/2011-07-31,5,1177,6.0,-0.16666666666666663,7062.0
1644196,JuliaLang/julia,2011-08-01/2011-08-07,4,1181,5.0,-0.19999999999999996,5905.0
1644196,JuliaLang/julia,2011-08-08/2011-08-14,8,1189,4.0,1.0,4756.0
1644196,JuliaLang/julia,2011-08-15/2011-08-21,14,1203,8.0,0.75,9624.0
1644196,JuliaLang/julia,2011-08-22/2011-08-28,5,1208,14.0,-0.6428571428571428,16912.0
1644196,JuliaLang/julia,2011-08-29/2011-09-04,5,1213,5.0,0.0,6065.0
1644196,JuliaLang/julia,2011-09-05/2011-09-11,13,1226,5.0,1.6,6130.0
1644196,JuliaLang/julia,2011-09-12/2011-09-18,6,1232,13.0,-0.5384615384615384,16016.0
1644196,JuliaLang/julia,2011-09-19/2011-09-25,10,1242,6.0,0.6666666666666667,7452.0
1644196,JuliaLang/julia,2011-09-26/2011-10-02,12,1254,10.0,0.19999999999999996,12540.0
1644196,JuliaLang/julia,2011-10-03/2011-10-09,9,1263,12.0,-0.25,15156.0
1644196,JuliaLang/julia,2011-10-10/2011-10-16,5,1268,9.0,-0.4444444444444444,11412.0
1644196,JuliaLang/julia,2011-10-17/2011-10-23,5,1273,5.0,0.0,6365.0
1644196,JuliaLang/julia,2011-10-24/2011-10-30,5,1278,5.0,0.0,6390.0
1644196,JuliaLang/julia,2011-10-31/2011-11-06,6,1284,5.0,0.19999999999999996,6420.0
1644196,JuliaLang/julia,2011-11-07/2011-11-13,7,1291,6.0,0.16666666666666674,7746.0
1644196,JuliaLang/julia,2011-11-14/2011-11-20,5,1296,7.0,-0.2857142857142857,9072.0
1644196,JuliaLang/julia,2011-11-21/2011-11-27,6,1302,5.0,0.19999999999999996,6510.0
1644196,JuliaLang/julia,2011-11-28/2011-12-04,11,1313,6.0,0.8333333333333333,7878.0
1644196,JuliaLang/julia,2011-12-05/2011-12-11,8,1321,11.0,-0.2727272727272727,14531.0
1644196,JuliaLang/julia,2011-12-12/2011-12-18,10,1331,8.0,0.25,10648.0
1644196,JuliaLang/julia,2011-12-19/2011-12-25,4,1335,10.0,-0.6,13350.0
1644196,JuliaLang/julia,2011-12-26/2012-01-01,4,1339,4.0,0.0,5356.0
1644196,JuliaLang/julia,2012-01-02/2012-01-08,7,1346,4.0,0.75,5384.0
1644196,JuliaLang/julia,2012-01-09/2012-01-15,10,1356,7.0,0.4285714285714286,9492.0
1644196,JuliaLang/julia,2012-01-16/2012-01-22,9,1365,10.0,-0.09999999999999998,13650.0
1644196,JuliaLang/julia,2012-01-23/2012-01-29,5,1370,9.0,-0.4444444444444444,12330.0
1644196,JuliaLang/julia,2012-01-30/2012-02-05,11,1381,5.0,1.2000000000000002,6905.0
1644196,JuliaLang/julia,2012-02-06/2012-02-12,7,1388,11.0,-0.36363636363636365,15268.0
1644196,JuliaLang/julia,2012-02-13/2012-02-19,2,1390,7.0,-0.7142857142857143,9730.0
1644196,JuliaLang/julia,2012-02-20/2012-02-26,19,1409,2.0,8.5,2818.0
1644196,JuliaLang/julia,2012-02-27/2012-03-04,5,1414,19.0,-0.736842105263158,26866.0
1644196,JuliaLang/julia,2012-03-05/2012-03-11,2,1416,5.0,-0.6,7080.0
1644196,JuliaLang/julia,2012-03-12/2012-03-18,7,1423,2.0,2.5,2846.0
1644196,JuliaLang/julia,2012-03-19/2012-03-25,7,1430,7.0,0.0,10010.0
1644196,JuliaLang/julia,2012-03-26/2012-04-01,14,1444,7.0,1.0,10108.0
1644196,JuliaLang/julia,2012-04-02/2012-04-08,8,1452,14.0,-0.4285714285714286,20328.0
1644196,JuliaLang/julia,2012-04-09/2012-04-15,10,1462,8.0,0.25,11696.0
1644196,JuliaLang/julia,2012-04-16/2012-04-22,6,1468,10.0,-0.4,14680.0
1644196,JuliaLang/julia,2012-04-23/2012-04-29,5,1473,6.0,-0.16666666666666663,8838.0
1644196,JuliaLang/julia,2012-04-30/2012-05-06,1,1474,5.0,-0.8,7370.0
1644196,JuliaLang/julia,2012-05-07/2012-05-13,5,1479,1.0,4.0,1479.0
1644196,JuliaLang/julia,2012-05-14/2012-05-20,7,1486,5.0,0.3999999999999999,7430.0
1644196,JuliaLang/julia,2012-05-21/2012-05-27,6,1492,7.0,-0.1428571428571429,10444.0
1644196,JuliaLang/julia,2012-05-28/2012-06-03,3,1495,6.0,-0.5,8970.0
1644196,JuliaLang/julia,2012-06-04/2012-06-10,1,1496,3.0,-0.6666666666666667,4488.0
1644196,JuliaLang/julia,2012-06-11/2012-06-17,2,1498,1.0,1.0,1498.0
1644196,JuliaLang/julia,2012-06-18/2012-06-24,2,1500,2.0,0.0,3000.0
2126244,twbs/bootstrap,2011-07-25/2011-07-31,1500,1500,,,0.0
3214406,meteor/meteor,2012-01-16/2012-01-22,1500,1500,,,0.0
4164482,django/django,2012-04-23/2012-04-29,1500,1500,,,0.0
5108051,opencv/opencv,2012-07-16/2012-07-22,274,274,,,0.0
5108051,opencv/opencv,2012-07-23/2012-07-29,8,282,274.0,-0.9708029197080292,77268.0
5108051,opencv/opencv,2012-07-30/2012-08-05,5,287,8.0,-0.375,2296.0
5108051,opencv/opencv,2012-08-06/2012-08-12,2,289,5.0,-0.6,1445.0
5108051,opencv/opencv,2012-08-13/2012-08-19,1,290,2.0,-0.5,580.0
5108051,opencv/opencv,2012-08-20/2012-08-26,3,293,1.0,2.0,293.0
5108051,opencv/opencv,2012-08-27/2012-09-02,1,294,3.0,-0.6666666666666667,882.0
5108051,opencv/opencv,2012-09-03/2012-09-09,1,295,1.0,0.0,295.0
5108051,opencv/opencv,2012-09-10/2012-09-16,2,297,1.0,1.0,297.0
5108051,opencv/opencv,2012-09-17/2012-09-23,1,298,2.0,-0.5,596.0
5108051,opencv/opencv,2012-09-24/2012-09-30,1,299,1.0,0.0,299.0
5108051,opencv/opencv,2012-10-01/2012-10-07,1,300,1.0,0.0,300.0
5108051,opencv/opencv,2012-10-08/2012-10-14,1,301,1.0,0.0,301.0
5108051,opencv/opencv,2012-10-15/2012-10-21,5,306,1.0,4.0,306.0
5108051,opencv/opencv,2012-10-22/2012-10-28,1,307,5.0,-0.8,1535.0
5108051,opencv/opencv,2012-10-29/2012-11-04,1,308,1.0,0.0,308.0
5108051,opencv/opencv,2012-11-12/2012-11-18,3,311,1.0,2.0,311.0
5108051,opencv/opencv,2012-11-26/2012-12-02,3,314,3.0,0.0,942.0
5108051,opencv/opencv,2012-12-03/2012-12-09,3,317,3.0,0.0,951.0
5108051,opencv/opencv,2012-12-10/2012-12-16,2,319,3.0,-0.33333333333333337,957.0
5108051,opencv/opencv,2012-12-24/2012-12-30,2,321,2.0,0.0,642.0
5108051,opencv/opencv,2012-12-31/2013-01-06,1,322,2.0,-0.5,644.0
5108051,opencv/opencv,2013-01-07/2013-01-13,1,323,1.0,0.0,323.0
5108051,opencv/opencv,2013-01-14/2013-01-20,3,326,1.0,2.0,326.0
5108051,opencv/opencv,2013-01-21/2013-01-27,2,328,3.0,-0.33333333333333337,984.0
5108051,opencv/opencv,2013-02-04/2013-02-10,3,331,2.0,0.5,662.0
5108051,opencv/opencv,2013-02-11/2013-02-17,16,347,3.0,4.333333333333333,1041.0
5108051,opencv/opencv,2013-02-18/2013-02-24,13,360,16.0,-0.1875,5760.0
5108051,opencv/opencv,2013-02-25/2013-03-03,26,386,13.0,1.0,5018.0
5108051,opencv/opencv,2013-03-04/2013-03-10,17,403,26.0,-0.34615384615384615,10478.0
5108051,opencv/opencv,2013-03-11/2013-03-17,15,418,17.0,-0.11764705882352944,7106.0
5108051,opencv/opencv,2013-03-18/2013-03-24,29,447,15.0,0.9333333333333333,6705.0
5108051,opencv/opencv,2013-03-25/2013-03-31,20,467,29.0,-0.31034482758620685,13543.0
5108051,opencv/opencv,2013-04-01/2013-04-07,20,487,20.0,0.0,9740.0
5108051,opencv/opencv,2013-04-08/2013-04-14,24,511,20.0,0.19999999999999996,10220.0
5108051,opencv/opencv,2013-04-15/2013-04-21,41,552,24.0,0.7083333333333333,13248.0
5108051,opencv/opencv,2013-04-22/2013-04-28,35,587,41.0,-0.14634146341463417,24067.0
5108051,opencv/opencv,2013-04-29/2013-05-05,15,602,35.0,-0.5714285714285714,21070.0
5108051,opencv/opencv,2013-05-06/2013-05-12,17,619,15.0,0.1333333333333333,9285.0
5108051,opencv/opencv,2013-05-13/2013-05-19,15,634,17.0,-0.11764705882352944,10778.0
5108051,opencv/opencv,2013-05-20/2013-05-26,16,650,15.0,0.06666666666666665,9750.0
5108051,opencv/opencv,2013-05-27/2013-06-02,25,675,16.0,0.5625,10800.0
5108051,opencv/opencv,2013-06-03/2013-06-09,24,699,25.0,-0.040000000000000036,17475.0
5108051,opencv/opencv,2013-06-10/2013-06-16,22,721,24.0,-0.08333333333333337,17304.0
5108051,opencv/opencv,2013-06-17/2013-06-23,25,746,22.0,0.13636363636363646,16412.0
5108051,opencv/opencv,2013-06-24/2013-06-30,24,770,25.0,-0.040000000000000036,19250.0
5108051,opencv/opencv,2013-07-01/2013-07-07,30,800,24.0,0.25,19200.0
5108051,opencv/opencv,2013-07-08/2013-07-14,26,826,30.0,-0.1333333333333333,24780.0
5108051,opencv/opencv,2013-07-15/2013-07-21,23,849,26.0,-0.11538461538461542,22074.0
5108051,opencv/opencv,2013-07-22/2013-07-28,22,871,23.0,-0.04347826086956519,20033.0
5108051,opencv/opencv,2013-07-29/2013-08-04,25,896,22.0,0.13636363636363646,19712.0
5108051,opencv/opencv,2013-08-05/2013-08-11,23,919,25.0,-0.07999999999999996,22975.0
5108051,opencv/opencv,2013-08-12/2013-08-18,25,944,23.0,0.08695652173913038,21712.0
5108051,opencv/opencv,2013-08-19/2013-08-25,27,971,25.0,0.08000000000000007,24275.0
5108051,opencv/opencv,2013-08-26/2013-09-01,31,1002,27.0,0.14814814814814814,27054.0
5108051,opencv/opencv,2013-09-02/2013-09-08,32,1034,31.0,0.032258064516129004,32054.0
5108051,opencv/opencv,2013-09-09/2013-09-15,25,1059,32.0,-0.21875,33888.0
5108051,opencv/opencv,2013-09-16/2013-09-22,27,1086,25.0,0.08000000000000007,27150.0
5108051,opencv/opencv,2013-09-23/2013-09-29,32,1118,27.0,0.18518518518518512,30186.0
5108051,opencv/opencv,2013-09-30/2013-10-06,31,1149,32.0,-0.03125,36768.0
5108051,opencv/opencv,2013-10-07/2013-10-13,33,1182,31.0,0.06451612903225801,36642.0
5108051,opencv/opencv,2013-10-14/2013-10-20,33,1215,33.0,0.0,40095.0
5108051,opencv/opencv,2013-10-21/2013-10-27,31,1246,33.0,-0.06060606060606055,41118.0
5108051,opencv/opencv,2013-10-28/2013-11-03,35,1281,31.0,0.12903225806451624,39711.0
5108051,opencv/opencv,2013-11-04/2013-11-10,31,1312,35.0,-0.11428571428571432,45920.0
5108051,opencv/opencv,2013-11-11/2013-11-17,40,1352,31.0,0.29032258064516125,41912.0
5108051,opencv/opencv,2013-11-18/2013-11-24,36,1388,40.0,-0.09999999999999998,55520.0
5108051,opencv/opencv,2013-11-25/2013-12-01,29,1417,36.0,-0.19444444444444442,51012.0
5108051,opencv/opencv,2013-12-02/2013-12-08,46,1463,29.0,0.5862068965517242,42427.0
5108051,opencv/opencv,2013-12-09/2013-12-15,29,1492,46.0,-0.3695652173913043,68632.0
5108051,opencv/opencv,2013-12-16/2013-12-22,8,1500,29.0,-0.7241379310344828,43500.0
5625464,pyenv/pyenv,2012-08-27/2012-09-02,36,36,,,0.0
5625464,pyenv/pyenv,2013-02-04/2013-02-10,1,37,36.0,-0.9722222222222222,1332.0
5625464,pyenv/pyenv,2013-02-11/2013-02-17,3,40,1.0,2.0,40.0
5625464,pyenv/pyenv,2013-02-18/2013-02-24,6,46,3.0,1.0,138.0
5625464,pyenv/pyenv,2013-02-25/2013-03-03,2,48,6.0,-0.6666666666666667,288.0
5625464,pyenv/pyenv,2013-03-04/2013-03-10,3,51,2.0,0.5,102.0
5625464,pyenv/pyenv,2013-03-11/2013-03-17,2,53,3.0,-0.33333333333333337,159.0
5625464,pyenv/pyenv,2013-03-18/2013-03-24,3,56,2.0,0.5,112.0
5625464,pyenv/pyenv,2013-03-25/2013-03-31,4,60,3.0,0.33333333333333326,180.0
5625464,pyenv/pyenv,2013-04-01/2013-04-07,1,61,4.0,-0.75,244.0
5625464,pyenv/pyenv,2013-04-08/2013-04-14,2,63,1.0,1.0,63.0
