repo_id,full_name,owner,owner_id,repo_name,description,language,topics,stars_count,forks_count,watchers_count,open_issues_count,size,created_at,updated_at,pushed_at,default_branch,archived,disabled,is_fork,license,html_url,source_topic,collected_at
192640529,HumanSignal/label-studio,HumanSignal,48309720,label-studio,Label Studio is a multi-type data labeling and annotation tool with standardized output format,TypeScript,annotation|annotation-tool|annotations|boundingbox|computer-vision|data-labeling|dataset|datasets|deep-learning|image-annotation|image-classification|image-labeling|image-labelling-tool|label-studio|labeling|labeling-tool|mlops|semantic-segmentation|text-annotation|yolo,27591,3573,27591,888,3010818,2019-06-19T02:00:44Z,2026-06-13T13:54:04Z,2026-06-12T00:37:28Z,develop,False,False,False,Apache-2.0,https://github.com/HumanSignal/label-studio,deep-learning,2026-06-13T20:46:07.684102+00:00
221723816,WZMIAOMIAO/deep-learning-for-image-processing,WZMIAOMIAO,31005897,deep-learning-for-image-processing,deep learning for image processing including classification and object-detection etc.,Python,bilibili|classification|deep-learning|object-detection|pytorch|segmentation|tensorflow2,26269,8205,26269,102,25637,2019-11-14T15:02:27Z,2026-06-13T13:53:58Z,2026-01-01T07:16:34Z,master,False,False,False,GPL-3.0,https://github.com/WZMIAOMIAO/deep-learning-for-image-processing,deep-learning,2026-06-13T20:46:07.684108+00:00
88612945,junyanz/pytorch-CycleGAN-and-pix2pix,junyanz,1924757,pytorch-CycleGAN-and-pix2pix,Image-to-Image Translation in PyTorch,Python,computer-graphics|computer-vision|cyclegan|deep-learning|gan|gans|generative-adversarial-network|image-generation|image-manipulation|pix2pix|pytorch,25151,6570,25151,588,8464,2017-04-18T10:33:05Z,2026-06-13T11:46:55Z,2025-08-06T17:58:38Z,master,False,False,False,NOASSERTION,https://github.com/junyanz/pytorch-CycleGAN-and-pix2pix,deep-learning,2026-06-13T20:46:07.684115+00:00
42625970,HumanSignal/labelImg,HumanSignal,48309720,labelImg,"LabelImg is now part of the Label Studio community. The popular image annotation tool created by Tzutalin is no longer actively being developed, but you can check out Label Studio, the open source data labeling tool for images, text, hypertext, audio, video and time-series data.",Python,annotations|deep-learning|detection|image-classification|imagenet|python2|python3|recognition|tools,25005,6574,25005,451,242833,2015-09-17T01:33:59Z,2026-06-13T09:47:01Z,2024-06-07T20:24:32Z,master,True,False,False,MIT,https://github.com/HumanSignal/labelImg,deep-learning,2026-06-13T20:46:07.684121+00:00
621118467,microsoft/JARVIS,microsoft,6154722,JARVIS,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf",Python,deep-learning|platform|pytorch,24850,2142,24850,2949,41674,2023-03-30T02:57:12Z,2026-06-13T19:34:12Z,2025-07-29T13:44:13Z,main,False,False,False,MIT,https://github.com/microsoft/JARVIS,deep-learning,2026-06-13T20:46:07.684127+00:00
106024057,pyg-team/pytorch_geometric,pyg-team,89995122,pytorch_geometric,Graph Neural Network Library for PyTorch,Python,deep-learning|geometric-deep-learning|graph-convolutional-networks|graph-neural-networks|pytorch,23818,3996,23818,1286,25084,2017-10-06T16:03:03Z,2026-06-13T17:32:42Z,2026-06-13T07:20:43Z,master,False,False,False,MIT,https://github.com/pyg-team/pytorch_geometric,deep-learning,2026-06-13T20:46:07.684133+00:00
600368121,SYSTRAN/faster-whisper,SYSTRAN,1520500,faster-whisper,Faster Whisper transcription with CTranslate2,Python,deep-learning|inference|openai|quantization|speech-recognition|speech-to-text|transformer|whisper,23594,1933,23594,311,40514,2023-02-11T09:17:27Z,2026-06-13T19:59:56Z,2025-11-19T14:40:46Z,master,False,False,False,MIT,https://github.com/SYSTRAN/faster-whisper,deep-learning,2026-06-13T20:46:07.684139+00:00
95879426,Tencent/ncnn,Tencent,18461506,ncnn,ncnn is a high-performance neural network inference framework optimized for the mobile platform,C++,android|arm-neon|artificial-intelligence|caffe|darknet|deep-learning|high-preformance|inference|ios|keras|mlir|mxnet|ncnn|neural-network|onnx|pytorch|riscv|simd|tensorflow|vulkan,23371,4438,23371,1184,35299,2017-06-30T10:55:37Z,2026-06-13T15:54:15Z,2026-06-08T03:02:57Z,master,False,False,False,NOASSERTION,https://github.com/Tencent/ncnn,deep-learning,2026-06-13T20:46:07.684145+00:00
102904613,Unity-Technologies/ml-agents,Unity-Technologies,426196,ml-agents,The Unity Machine Learning Agents Toolkit (ML-Agents) is an open-source project that enables games and simulations to serve as environments for training intelligent agents using deep reinforcement learning and imitation learning.,C#,deep-learning|deep-reinforcement-learning|machine-learning|neural-networks|reinforcement-learning|unity|unity3d,19486,4459,19486,35,3027487,2017-09-08T21:09:04Z,2026-06-13T15:17:17Z,2026-06-12T20:47:48Z,develop,False,False,False,NOASSERTION,https://github.com/Unity-Technologies/ml-agents,deep-learning,2026-06-13T20:46:07.684154+00:00
171795571,ShusenTang/Dive-into-DL-PyTorch,ShusenTang,16498688,Dive-into-DL-PyTorch,本项目将《动手学深度学习》(Dive into Deep Learning)原书中的MXNet实现改为PyTorch实现。,Jupyter Notebook,computer-vision|d2l|deep-learning|deep-learning-tutorial|natural-language-processing|pytorch|pytorch-tutorial,19406,5403,19406,78,35157,2019-02-21T03:45:20Z,2026-06-13T13:01:56Z,2021-10-14T08:59:15Z,master,False,False,False,Apache-2.0,https://github.com/ShusenTang/Dive-into-DL-PyTorch,deep-learning,2026-06-13T20:46:07.684160+00:00
136026789,iperov/DeepFaceLab,iperov,8076202,DeepFaceLab,DeepFaceLab is the leading software for creating deepfakes.,Python,arxiv|creating-deepfakes|deep-face-swap|deep-learning|deep-neural-networks|deepface|deepfacelab|deepfakes|deeplearning|face-swap|faceswap|fakeapp|machine-learning|neural-nets|neural-networks,19239,900,19239,538,848594,2018-06-04T13:10:00Z,2026-06-13T20:17:41Z,2024-11-13T19:29:05Z,master,True,False,False,GPL-3.0,https://github.com/iperov/DeepFaceLab,deep-learning,2026-06-13T20:46:07.684166+00:00
123870315,tensorflow/tfjs,tensorflow,15658638,tfjs,A WebGL accelerated JavaScript library for training and deploying ML models.,TypeScript,deep-learning|deep-neural-network|gpu-acceleration|javascript|machine-learning|neural-network|typescript|wasm|web-assembly|webgl,19129,2025,19129,663,173928,2018-03-05T05:41:02Z,2026-06-13T16:56:51Z,2026-06-10T02:13:04Z,master,False,False,False,Apache-2.0,https://github.com/tensorflow/tfjs,deep-learning,2026-06-13T20:46:07.684171+00:00
67487554,nndl/nndl,nndl,22023289,nndl,邱锡鹏《神经网络与深度学习》（蒲公英书）理论书 v2 与通识版,,attention-mechanism|chinese|deep-learning|machine-learning|neural-networks|textbook|transformer,18897,3671,18897,2,672620,2016-09-06T08:09:06Z,2026-06-13T16:30:06Z,2026-06-01T16:59:06Z,main,False,False,False,,https://github.com/nndl/nndl,deep-learning,2026-06-13T20:46:07.684178+00:00
47184304,keon/awesome-nlp,keon,10793962,awesome-nlp,:book: A curated list of resources dedicated to Natural Language Processing (NLP),,awesome|awesome-list|deep-learning|language|machine-learning|natural-language-processing|nlp|text-mining,18725,2825,18725,0,1128,2015-12-01T11:11:33Z,2026-06-13T20:23:17Z,2026-06-06T20:16:10Z,main,False,False,False,CC0-1.0,https://github.com/keon/awesome-nlp,deep-learning,2026-06-13T20:46:07.684184+00:00
627561173,mlc-ai/web-llm,mlc-ai,106173866,web-llm,High-performance In-browser LLM Inference Engine ,TypeScript,chatgpt|deep-learning|language-model|llm|tvm|webgpu|webml,18186,1310,18186,146,68915,2023-04-13T18:11:59Z,2026-06-13T20:06:32Z,2026-06-09T03:38:30Z,main,False,False,False,Apache-2.0,https://github.com/mlc-ai/web-llm,deep-learning,2026-06-13T20:46:07.684189+00:00
418718534,mrdbourke/pytorch-deep-learning,mrdbourke,16750345,pytorch-deep-learning,Materials for the Learn PyTorch for Deep Learning: Zero to Mastery course.,Jupyter Notebook,deep-learning|machine-learning|pytorch,18122,4981,18122,150,782505,2021-10-19T00:49:19Z,2026-06-13T17:51:33Z,2026-02-11T11:11:15Z,main,False,False,False,MIT,https://github.com/mrdbourke/pytorch-deep-learning,deep-learning,2026-06-13T20:46:07.684195+00:00
42360601,ujjwalkarn/Machine-Learning-Tutorials,ujjwalkarn,5948390,Machine-Learning-Tutorials,"machine learning and deep learning tutorials, articles and other resources ",,awesome|awesome-list|deep-learning|deep-learning-tutorial|deep-neural-networks|deeplearning|list|machine-learning|machinelearning|neural-network|neural-networks,17899,3989,17899,47,9024,2015-09-12T14:51:38Z,2026-06-13T19:17:06Z,2024-06-12T08:11:59Z,master,False,False,False,CC0-1.0,https://github.com/ujjwalkarn/Machine-Learning-Tutorials,deep-learning,2026-06-13T20:46:07.684200+00:00
195408640,NLP-LOVE/ML-NLP,NLP-LOVE,52538954,ML-NLP,此项目是机器学习(Machine Learning)、深度学习(Deep Learning)、NLP面试中常考到的知识点和代码实现，也是作为一个算法工程师必会的理论基础知识。,Jupyter Notebook,deep-learning|machine-learning|nlp,17720,4630,17720,36,12225,2019-07-05T12:49:53Z,2026-06-12T15:07:18Z,2026-01-09T15:16:21Z,master,False,False,False,,https://github.com/NLP-LOVE/ML-NLP,deep-learning,2026-06-13T20:46:07.684206+00:00
569509049,UFund-Me/Qbot,UFund-Me,75005393,Qbot,[🔥updating ...] AI 自动量化交易机器人(完全本地部署) AI-powered Quantitative Investment Research Platform. 📃 online docs: https://ufund-me.github.io/Qbot   ✨ :news: qbot-mini: https://github.com/Charmve/iQuant,Jupyter Notebook,backtest|bitcoin|blockchain|deep-learning|fintech|funds|machine-learning|pytrade|qlib|quant-trade|quant-trader|quantitative-finance|quantitative-trading|quantization|strategies|trade-bot|trademarks,17628,2481,17628,68,380245,2022-11-23T01:37:43Z,2026-06-13T17:14:26Z,2026-03-11T12:16:42Z,main,False,False,False,MIT,https://github.com/UFund-Me/Qbot,deep-learning,2026-06-13T20:46:07.684219+00:00
46918116,microsoft/CNTK,microsoft,6154722,CNTK,"Microsoft Cognitive Toolkit (CNTK), an open source deep-learning toolkit",C++,c-plus-plus|c-sharp|cntk|cognitive-toolkit|deep-learning|deep-neural-networks|distributed|java|machine-learning|neural-network|python,17601,4229,17601,839,935217,2015-11-26T09:52:06Z,2026-06-13T16:58:50Z,2023-03-11T07:31:35Z,master,True,False,False,NOASSERTION,https://github.com/microsoft/CNTK,deep-learning,2026-06-13T20:46:07.684225+00:00
128796920,Mikoto10032/DeepLearning,Mikoto10032,22048593,DeepLearning,"深度学习入门教程, 优秀文章, Deep Learning Tutorial",Jupyter Notebook,cnn|deep-learning|deeplearning|gan|gcn|kaggle|machine-learning|machinelearning|mxnet|pytorch|rnn|tensorflow,17540,3878,17540,15,958284,2018-04-09T15:53:37Z,2026-06-13T14:56:03Z,2022-04-21T03:24:43Z,master,False,False,False,Apache-2.0,https://github.com/Mikoto10032/DeepLearning,deep-learning,2026-06-13T20:46:07.684230+00:00
614765452,Significant-Gravitas/AutoGPT,Significant-Gravitas,130738209,AutoGPT,"AutoGPT is the vision of accessible AI for everyone, to use and to build on. Our mission is to provide the tools, so that you can focus on what matters.",Python,agentic-ai|agents|ai|artificial-intelligence|autonomous-agents|claude|gpt|llama-api|llm|openai|python,184930,46145,184930,434,619834,2023-03-16T09:21:07Z,2026-06-13T20:07:20Z,2026-06-13T14:30:13Z,master,False,False,False,NOASSERTION,https://github.com/Significant-Gravitas/AutoGPT,artificial-intelligence,2026-06-13T20:46:16.994098+00:00
695864515,hacksider/Deep-Live-Cam,hacksider,1267200,Deep-Live-Cam,real time face swap and one-click video deepfake with only a single image,Python,ai|ai-deep-fake|ai-face|ai-webcam|artificial-intelligence|deep-fake|deepfake|deepfake-webcam|faceswap|fake-webcam|gan|real-time-deepfake|realtime|realtime-deepfake|realtime-face-changer|video-deepfake|webcam|webcamera,93802,13682,93802,122,156181,2023-09-24T13:19:31Z,2026-06-13T20:35:38Z,2026-05-31T16:50:59Z,main,False,False,False,AGPL-3.0,https://github.com/hacksider/Deep-Live-Cam,artificial-intelligence,2026-06-13T20:46:16.994146+00:00
1048065319,thedotmack/claude-mem,thedotmack,683968,claude-mem,"Persistent Context Across Sessions for Every Agent –  Captures everything your agent does during sessions, compresses it with AI, and injects relevant context back into future sessions. Works with Claude Code, OpenClaw, Codex, Gemini, Hermes, Copilot, OpenCode + More",JavaScript,ai|ai-agents|ai-memory|anthropic|artificial-intelligence|chromadb|claude|claude-agent-sdk|claude-agents|claude-code|claude-code-plugin|claude-skills|embeddings|long-term-memory|mem0|memory-engine|openmemory|rag|sqlite|supermemory,82130,7091,82130,123,205483,2025-08-31T20:50:03Z,2026-06-13T20:45:47Z,2026-06-13T01:13:33Z,main,False,False,False,Apache-2.0,https://github.com/thedotmack/claude-mem,artificial-intelligence,2026-06-13T20:46:16.994156+00:00
771302083,OpenHands/OpenHands,OpenHands,225919603,OpenHands,🙌 OpenHands: AI-Driven Development,Python,agent|artificial-intelligence|chatgpt|claude-ai|cli|developer-tools|gpt|llm|openai,76853,9763,76853,335,341825,2024-03-13T03:33:31Z,2026-06-13T20:40:26Z,2026-06-13T18:45:19Z,main,False,False,False,NOASSERTION,https://github.com/OpenHands/OpenHands,artificial-intelligence,2026-06-13T20:46:16.994163+00:00
621803253,FlowiseAI/Flowise,FlowiseAI,128289781,Flowise,"Build AI Agents, Visually",TypeScript,agentic-ai|agentic-workflow|agents|artificial-intelligence|chatbot|chatgpt|javascript|langchain|large-language-models|low-code|multiagent-systems|no-code|openai|rag|react|typescript|workflow-automation,53545,24511,53545,915,82858,2023-03-31T12:23:09Z,2026-06-13T20:06:28Z,2026-06-10T07:32:39Z,main,False,False,False,NOASSERTION,https://github.com/FlowiseAI/Flowise,artificial-intelligence,2026-06-13T20:46:16.994169+00:00
834369920,jingyaogong/minimind,jingyaogong,62287848,minimind,🧠「大模型」2小时完全从0训练64M的小参数LLM！Train a 64M-parameter LLM from scratch in just 2h!,Python,artificial-intelligence|large-language-model,51700,6640,51700,42,38342,2024-07-27T04:34:12Z,2026-06-13T17:12:34Z,2026-06-01T09:50:49Z,master,False,False,False,Apache-2.0,https://github.com/jingyaogong/minimind,artificial-intelligence,2026-06-13T20:46:16.994175+00:00
26783295,Kong/kong,Kong,962416,kong,🦍 The API and AI Gateway,Lua,ai|ai-gateway|api-gateway|api-management|apis|artificial-intelligence|cloud-native|devops|kubernetes|kubernetes-ingress|kubernetes-ingress-controller|llm-gateway|llm-ops|mcp|mcp-gateway|microservice|microservices|openai-proxy|reverse-proxy|serverless,43584,5150,43584,151,97743,2014-11-17T23:56:08Z,2026-06-13T16:31:36Z,2026-06-10T06:34:47Z,master,False,False,False,Apache-2.0,https://github.com/Kong/kong,artificial-intelligence,2026-06-13T20:46:16.994183+00:00
642323624,XingangPan/DragGAN,XingangPan,13579537,DragGAN,Official Code for DragGAN (SIGGRAPH 2023),Python,artificial-intelligence|generative-adversarial-network|generative-models|image-manipulation,35825,3421,35825,153,34847,2023-05-18T10:08:02Z,2026-06-13T05:48:09Z,2024-05-18T17:51:40Z,main,False,False,False,NOASSERTION,https://github.com/XingangPan/DragGAN,artificial-intelligence,2026-06-13T20:46:16.994188+00:00
101782647,facebookresearch/fairseq,facebookresearch,16943930,fairseq,Facebook AI Research Sequence-to-Sequence Toolkit written in Python.,Python,artificial-intelligence|python|pytorch,32233,6680,32233,1352,26071,2017-08-29T16:26:12Z,2026-06-13T01:24:27Z,2025-09-30T11:16:06Z,main,True,False,False,MIT,https://github.com/facebookresearch/fairseq,artificial-intelligence,2026-06-13T20:46:16.994205+00:00
837911756,feder-cr/Jobs_Applier_AI_Agent_AIHawk,feder-cr,85809106,Jobs_Applier_AI_Agent_AIHawk,"AIHawk aims to easy job hunt process by automating the job application process. Utilizing artificial intelligence, it enables users to apply for multiple jobs in a tailored way.",Python,agent|application-resume|artificial-intelligence|automate|automation|bot|chatgpt|chrome|gpt|human-resources|job|jobs|jobsearch|jobseeker|opeai|python|resume|scraper|scraping|selenium,29898,4575,29898,26,192,2024-08-04T12:15:06Z,2026-06-13T20:39:33Z,2026-05-17T00:16:40Z,main,True,False,False,AGPL-3.0,https://github.com/feder-cr/Jobs_Applier_AI_Agent_AIHawk,artificial-intelligence,2026-06-13T20:46:16.994213+00:00
912559512,simstudioai/sim,simstudioai,199344406,sim,"Build, deploy, and orchestrate AI agents. Sim is the central intelligence layer for your AI workforce.",TypeScript,agent-workflow|agentic-workflow|agents|ai|aiagents|anthropic|artificial-intelligence|automation|chatbot|deepseek|gemini|low-code|nextjs|no-code|openai|rag|react|typescript,28760,3658,28760,219,465085,2025-01-05T22:47:49Z,2026-06-13T18:52:33Z,2026-06-13T20:41:52Z,main,False,False,False,Apache-2.0,https://github.com/simstudioai/sim,artificial-intelligence,2026-06-13T20:46:16.994220+00:00
655459367,e2b-dev/awesome-ai-agents,e2b-dev,129434473,awesome-ai-agents,A list of AI autonomous agents,,agent|ai|artificial-intelligence|autogpt|autonomous-agents|awesome|babyagi|copilot|gpt|gpt-4|gpt-engineer|openai|python,28298,3009,28298,745,117748,2023-06-19T00:20:06Z,2026-06-13T20:39:54Z,2025-02-26T10:04:45Z,main,False,False,False,NOASSERTION,https://github.com/e2b-dev/awesome-ai-agents,artificial-intelligence,2026-06-13T20:46:16.994226+00:00
607289185,microsoft/semantic-kernel,microsoft,6154722,semantic-kernel,Integrate cutting-edge LLM technology quickly and easily into your apps,C#,ai|artificial-intelligence|llm|openai|sdk,28114,4647,28114,283,103179,2023-02-27T17:39:42Z,2026-06-13T19:25:23Z,2026-06-12T22:35:21Z,main,False,False,False,MIT,https://github.com/microsoft/semantic-kernel,artificial-intelligence,2026-06-13T20:46:16.994232+00:00
94801380,The-Art-of-Hacking/h4cker,The-Art-of-Hacking,29549806,h4cker,"This repository is maintained by Omar Santos (@santosomar) and includes thousands of resources related to ethical hacking, bug bounties, digital forensics and incident response (DFIR), AI security, vulnerability research, exploit development, reverse engineering, and more. 🔥 Also check: https://hackertraining.org",Jupyter Notebook,ai|ai-security|artificial-intelligence|awesome-list|awesome-lists|cybersecurity|ethical-hacking|exploit|exploit-development|exploits|hacker|hackers|hacking|hacking-series|penetration-testing|training|vulnerability|vulnerability-assessment|vulnerability-identification|vulnerability-management,27425,5163,27425,1,156363,2017-06-19T17:11:19Z,2026-06-13T20:20:47Z,2026-05-28T13:03:35Z,master,False,False,False,MIT,https://github.com/The-Art-of-Hacking/h4cker,artificial-intelligence,2026-06-13T20:46:16.994238+00:00
525592995,invoke-ai/InvokeAI,invoke-ai,113954515,InvokeAI,"Invoke is a leading creative engine for Stable Diffusion models, empowering professionals, artists, and enthusiasts to generate and create visual media using the latest AI-driven technologies. The solution offers an industry leading WebUI, and serves as the foundation for multiple commercial products.",TypeScript,ai-art|artificial-intelligence|generative-art|image-generation|img2img|inpainting|latent-diffusion|linux|macos|outpainting|stable-diffusion|txt2img|windows,27423,2875,27423,459,360307,2022-08-17T01:04:27Z,2026-06-13T18:29:52Z,2026-06-13T14:04:04Z,main,False,False,False,Apache-2.0,https://github.com/invoke-ai/InvokeAI,artificial-intelligence,2026-06-13T20:46:16.994257+00:00
821372392,HandsOnLLM/Hands-On-Large-Language-Models,HandsOnLLM,174106807,Hands-On-Large-Language-Models,"Official code repo for the O'Reilly Book - ""Hands-On Large Language Models""",Jupyter Notebook,artificial-intelligence|book|large-language-models|llm|llms|oreilly|oreilly-books,26971,6265,26971,38,13180,2024-06-28T11:49:46Z,2026-06-13T20:34:35Z,2026-04-24T10:20:08Z,main,False,False,False,Apache-2.0,https://github.com/HandsOnLLM/Hands-On-Large-Language-Models,artificial-intelligence,2026-06-13T20:46:16.994265+00:00
828119367,yamadashy/repomix,yamadashy,5019072,repomix,"📦 Repomix is a powerful tool that packs your entire repository into a single, AI-friendly file. Perfect for when you need to feed your codebase to Large Language Models (LLMs) or other AI tools like Claude, ChatGPT, DeepSeek, Perplexity, Gemini, Gemma, Llama, Grok, and more.",TypeScript,ai|anthropic|artificial-intelligence|chatbot|chatgpt|claude|deepseek|developer-tools|gemini|genai|generative-ai|gpt|javascript|language-model|llama|llm|mcp|nodejs|openai|typescript,26241,1368,26241,163,25351,2024-07-13T07:11:32Z,2026-06-13T20:22:35Z,2026-06-13T09:10:03Z,main,False,False,False,MIT,https://github.com/yamadashy/repomix,artificial-intelligence,2026-06-13T20:46:16.994272+00:00
1032808806,usestrix/strix,usestrix,187630752,strix,Open-source AI hackers to find and fix your app’s vulnerabilities.,Python,agents|artificial-intelligence|cybersecurity|generative-ai|llm|penetration-testing,25973,2922,25973,108,5735,2025-08-05T21:28:30Z,2026-06-13T19:50:41Z,2026-06-09T16:42:23Z,main,False,False,False,Apache-2.0,https://github.com/usestrix/strix,artificial-intelligence,2026-06-13T20:46:16.994281+00:00
300996055,lucidrains/vit-pytorch,lucidrains,108653,vit-pytorch,"Implementation of Vision Transformer, a simple way to achieve SOTA in vision classification with only a single transformer encoder, in Pytorch",Python,artificial-intelligence|attention-mechanism|computer-vision|image-classification|transformers,25309,3502,25309,141,11029,2020-10-03T22:47:24Z,2026-06-13T19:27:03Z,2026-06-13T17:48:17Z,main,False,False,False,MIT,https://github.com/lucidrains/vit-pytorch,artificial-intelligence,2026-06-13T20:46:16.994288+00:00
644461337,vercel/ai,vercel,14985020,ai,"The AI Toolkit for TypeScript. From the creators of Next.js, the AI SDK is a free open-source library for building AI-powered applications and agents ",TypeScript,anthropic|artificial-intelligence|gemini|generative-ai|generative-ui|javascript|language-model|llm|nextjs|openai|react|svelte|typescript|vercel|vue,24840,4585,24840,1742,269865,2023-05-23T15:04:08Z,2026-06-13T19:57:36Z,2026-06-13T00:05:10Z,main,False,False,False,NOASSERTION,https://github.com/vercel/ai,artificial-intelligence,2026-06-13T20:46:16.994294+00:00
