model,parameters_json,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_pr_auc,std_test_pr_auc,mean_test_accuracy,mean_test_balanced_accuracy,mean_test_precision,mean_test_recall,mean_test_f1,mean_test_mcc,mean_test_cohen_kappa,mean_test_neg_log_loss,mean_fit_time,std_fit_time,param_model__strategy,param_model__C,param_model__penalty,param_model__kernel,param_model__gamma,param_model__criterion,param_model__max_depth,param_model__min_samples_leaf,param_model__max_features,param_model__n_estimators,param_model__n_neighbors,param_model__p,param_model__weights,param_model__learning_rate,param_model__subsample,param_model__colsample_bytree,param_model__reg_lambda
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0014585494995117188,0.000717104027350529,,,,,,gini,5,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0014897823333740235,0.0008812205173690077,,,,,,gini,5,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": 5, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.002159452438354492,0.0015086041696552883,,,,,,gini,5,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0019445419311523438,0.0005254800868910773,,,,,,gini,,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0018068313598632812,0.0009638950143261421,,,,,,gini,,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""gini"", ""model__max_depth"": null, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0015409469604492187,0.0010417311066173924,,,,,,gini,,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0018483638763427735,0.0006289954344899804,,,,,,entropy,2,1.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 3}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0014193058013916016,0.0006445103967857732,,,,,,entropy,2,3.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 2, ""model__min_samples_leaf"": 5}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0020235061645507814,0.0007754372048982319,,,,,,entropy,2,5.0,,,,,,,,,
decision_tree,"{""model__criterion"": ""entropy"", ""model__max_depth"": 3, ""model__min_samples_leaf"": 1}",1,0.9833333333333332,0.020412414523193187,0.9753623188405797,0.03315959764825379,0.9826086956521738,0.9833333333333332,0.9833333333333332,0.9833333333333332,0.9826086956521738,0.9666666666666666,0.9652830188679247,-0.6268461458976897,0.0013559818267822265,0.0005158980877831788,,,,,,entropy,3,1.0,,,,,,,,,
