repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url,topic_count,has_ai_topic,has_ml_topic,has_deep_learning_topic,has_data_science_topic,has_web_topic,has_llm_topic,early_to_total_star_ratio,early_peak_to_average_ratio,forks_per_star,issues_per_star
65600975,pytorch/pytorch,6,1.5,3,1494.0,149.4,1,Python,autograd|deep-learning|gpu|machine-learning|neural-network|numpy|python|tensor,100728,28009,100728,18395,2016-08-13T05:26:41Z,2026-06-13T20:23:28Z,2026-06-13T20:38:59Z,0,0,NOASSERTION,https://github.com/pytorch/pytorch,1,0,1,1,0,0,0,5.9565765569001974e-05,1.2,0.27806292130369603,0.18261870960696522
65750241,expo/expo,120,30.0,51,1380.0,25.555555555555557,1,TypeScript,android|app-framework|expo|framework|frontend|ios|javascript|mobile|native|native-apps|react|react-native|typescript|universal|web|web-framework,50052,12738,50052,584,2016-08-15T17:14:25Z,2026-06-13T19:56:26Z,2026-06-13T20:15:49Z,0,0,MIT,https://github.com/expo/expo,1,0,0,0,0,1,0,0.0023974586937845883,1.6451612903225807,0.25449024034523404,0.011667632309751663
67274736,ElemeFE/element,1500,375.0,765,0.0,0.0,0,Vue,components|element-ui|javascript|ui-kit|vue|vue-components|vuejs,54118,14458,54118,2971,2016-09-03T06:19:26Z,2026-06-13T06:56:27Z,2024-08-20T07:40:13Z,0,0,MIT,https://github.com/ElemeFE/element,1,0,0,0,0,1,0,0.027716698386888155,2.0345744680851063,0.2671520168517526,0.05489754060496314
70107786,vercel/next.js,1500,1500.0,1500,0.0,0.0,0,JavaScript,blog|browser|compiler|components|hybrid|nextjs|node|react|server-rendering|ssg|static|static-site-generator|universal|vercel,139981,31219,139981,4075,2016-10-05T23:32:51Z,2026-06-13T18:30:45Z,2026-06-13T20:55:48Z,0,0,MIT,https://github.com/vercel/next.js,1,0,0,0,0,1,0,0.0107156634424426,0.9993337774816788,0.22302153133974367,0.029110885685302398
71583602,Developer-Y/cs-video-courses,1500,375.0,904,0.0,0.0,0,Unknown,algorithms|bioinformatics|computational-biology|computational-physics|computer-architecture|computer-science|computer-vision|database-systems|databases|deep-learning|embedded-systems|machine-learning|quantum-computing|reinforcement-learning|robotics|security|systems|web-development,81786,11301,81786,2,2016-10-21T17:02:11Z,2026-06-13T20:34:43Z,2026-06-13T15:50:10Z,0,0,No License,https://github.com/Developer-Y/cs-video-courses,1,0,1,1,0,1,0,0.018340323034223043,2.404255319148936,0.1381759937398364,2.4453764045630723e-05
74791366,ryanmcdermott/clean-code-javascript,1500,750.0,1498,0.0,0.0,0,JavaScript,best-practices|clean-architecture|clean-code|composition|inheritance|javascript|principles,94448,12460,94448,123,2016-11-25T22:25:41Z,2026-06-13T14:26:36Z,2024-07-29T07:24:37Z,0,0,MIT,https://github.com/ryanmcdermott/clean-code-javascript,1,0,0,0,0,1,0,0.015881586888161867,1.9946737683089215,0.13192304841766456,0.001302290124829273
75104123,prettier/prettier,32,8.0,16,1468.0,1468.0,1,JavaScript,angular|ast|css|flow|formatter|graphql|html|javascript|json|jsx|less|markdown|prettier|printer|scss|typescript|vue|yaml,52010,4741,52010,1409,2016-11-29T17:13:37Z,2026-06-13T18:42:16Z,2026-06-13T02:36:17Z,0,0,MIT,https://github.com/prettier/prettier,1,0,1,0,0,1,0,0.0006152544654015496,1.7777777777777777,0.09115379438964834,0.027090423179711984
79162682,laurent22/joplin,1500,375.0,1478,0.0,0.0,0,TypeScript,android|dropbox|electron|enex-files|evernote|javascript|joplin|nextcloud|nodejs|note-taking|notesnook|obsidian|onedrive|react-native|standardnotes|synchronisation|web-clipper|webdav,55180,6141,55180,566,2017-01-16T21:49:41Z,2026-06-13T20:17:51Z,2026-06-13T20:20:39Z,0,0,NOASSERTION,https://github.com/laurent22/joplin,1,0,0,0,0,1,0,0.027183269603667928,3.9308510638297873,0.11128830575741651,0.010257153730450698
80945428,nestjs/nest,70,17.5,47,1430.0,46.12903225806452,1,TypeScript,framework|hacktoberfest|javascript|javascript-framework|microservices|nest|nestjs|node|nodejs|nodejs-framework|typescript|typescript-framework|websockets,75826,8319,75826,28,2017-02-04T20:12:52Z,2026-06-13T18:32:32Z,2026-06-12T22:48:14Z,0,0,MIT,https://github.com/nestjs/nest,1,0,0,0,0,1,0,0.0009231540216545558,2.5405405405405403,0.10971026151634641,0.0003692616086618223
83222441,donnemartin/system-design-primer,1500,1500.0,1500,0.0,0.0,0,Python,design|design-patterns|design-system|development|interview|interview-practice|interview-questions|programming|python|system|web|web-application|webapp,352930,56693,352930,550,2017-02-26T16:15:28Z,2026-06-13T20:55:26Z,2026-03-20T01:52:19Z,0,0,NOASSERTION,https://github.com/donnemartin/system-design-primer,1,0,0,0,0,1,0,0.004250122545200053,0.9993337774816788,0.1606347983033511,0.0015583782665733528
