repo_id,repo_full_name,early_4week_stars,early_avg_weekly_stars,early_max_weekly_stars,later_stars,later_avg_weekly_stars,became_high_growth,language,topics,stars_count,forks_count,watchers_count,open_issues_count,created_at,updated_at,pushed_at,archived,is_fork,license,html_url
83222441,donnemartin/system-design-primer,1500,1500.0,1500,0.0,0.0,0,Python,design|design-patterns|design-system|development|interview|interview-practice|interview-questions|programming|python|system|web|web-application|webapp,352930,56693,352930,550,2017-02-26T16:15:28Z,2026-06-13T20:55:26Z,2026-03-20T01:52:19Z,0,0,NOASSERTION,https://github.com/donnemartin/system-design-primer
88011908,practical-tutorials/project-based-learning,1500,375.0,754,0.0,0.0,0,,beginner-project|cpp|golang|javascript|project|python|tutorial|webdevelopment,268897,34848,268897,311,2017-04-12T05:07:46Z,2026-06-13T20:57:41Z,2024-08-15T05:33:54Z,0,0,MIT,https://github.com/practical-tutorials/project-based-learning
91629816,freqtrade/freqtrade,4,1.0,1,1496.0,15.583333333333334,1,Python,algorithmic-trading|bitcoin|cryptocurrencies|cryptocurrency|freqtrade|python|telegram-bot|trade|trading-bot,51415,10707,51415,32,2017-05-17T23:48:53Z,2026-06-13T20:55:21Z,2026-06-13T07:33:22Z,0,0,GPL-3.0,https://github.com/freqtrade/freqtrade
101138315,d2l-ai/d2l-zh,552,138.0,383,948.0,45.142857142857146,1,Python,book|chinese|computer-vision|deep-learning|machine-learning|natural-language-processing|notebook|python,78314,12267,78314,130,2017-08-23T04:40:24Z,2026-06-13T19:08:15Z,2024-07-30T09:32:19Z,0,0,Apache-2.0,https://github.com/d2l-ai/d2l-zh
103633984,goldbergyoni/nodebestpractices,1500,375.0,1352,0.0,0.0,0,Dockerfile,best-practices|es6|eslint|express|expressjs|javascript|jest|microservices|mocha|node-js|nodejs|nodejs-development|npm|rest|style-guide|styleguide|testing|types,105316,10720,105316,133,2017-09-15T08:33:19Z,2026-06-13T20:47:25Z,2025-04-15T21:52:42Z,0,0,CC-BY-SA-4.0,https://github.com/goldbergyoni/nodebestpractices
107111421,thedaviddias/Front-End-Checklist,1500,1500.0,1500,0.0,0.0,0,MDX,ai-agent|ai-agents|checklist|css|front-end-developer-tool|front-end-development|frontend|guidelines|html|javascript|lists|reference|resources|rules|web-development,72920,6650,72920,3,2017-10-16T10:12:36Z,2026-06-13T18:33:34Z,2026-06-09T20:18:49Z,0,0,,https://github.com/thedaviddias/Front-End-Checklist
109343098,serhii-londar/open-source-mac-os-apps,67,16.75,49,1433.0,102.35714285714286,1,,applications|apps|awesome|awesome-list|c|c-plus-plus|hacktoberfest|javascript|mac|macos|macos-application|macosx|objective-c|open-source|opensource|python|ruby|swift,49063,2585,49063,112,2017-11-03T02:35:33Z,2026-06-13T20:55:45Z,2026-04-15T22:47:24Z,0,0,CC0-1.0,https://github.com/serhii-londar/open-source-mac-os-apps
110058856,LeCoupa/awesome-cheatsheets,19,4.75,8,1481.0,148.1,1,JavaScript,backend|bash|cheatsheet|cheatsheets|database|django|docker|feathersjs|frontend|javascript|kubernetes|language|nodejs|php|programming-language|redis|sailsjs|vim|vuejs|xcode,46007,6711,46007,138,2017-11-09T02:47:15Z,2026-06-13T16:58:22Z,2026-04-12T17:26:10Z,0,0,MIT,https://github.com/LeCoupa/awesome-cheatsheets
112507086,Chalarangelo/30-seconds-of-code,1500,750.0,1499,0.0,0.0,0,JavaScript,astro|awesome-list|css|education|es6-javascript|git|html|javascript|learn-to-code|learning-resources|nodejs|programming|snippets,128085,12477,128085,1,2017-11-29T17:35:03Z,2026-06-13T20:47:34Z,2026-06-11T06:35:33Z,0,0,CC-BY-4.0,https://github.com/Chalarangelo/30-seconds-of-code
121395510,CyC2018/CS-Notes,1500,500.0,831,0.0,0.0,0,,algorithm|computer-science|cpp|interview|java|leetcode|python|system-design,184542,50892,184542,196,2018-02-13T14:56:24Z,2026-06-13T20:03:41Z,2024-08-21T09:40:10Z,0,0,,https://github.com/CyC2018/CS-Notes
